Date,Date,Open,High,Low,Close,Volume,Volume (Currency),Weighted Price
2017-07-24,2017-07-24,2761.0,2809.377,2720.001,2755.898,5221.13369129,14414656.9318,2760.82892798
2017-07-25,2017-07-25,2755.898,2774.996,2440.211,2556.002,10789.6621137,27862832.7905,2582.36379386
2017-07-26,2017-07-26,2565.0,2617.013,2414.612,2525.0,9942.9701169,24817822.7801,2496.01703398
2017-07-27,2017-07-27,2526.699,2695.999,2511.166,2675.392,6869.44407154,17751186.2089,2584.07900611
2017-07-28,2017-07-28,2676.988,2851.954,2671.011,2800.0,9163.83609075,25326415.808,2763.73513856
2017-07-29,2017-07-29,2808.971,2808.999,2678.588,2715.999,7068.39098876,19334018.7178,2735.27861554
2017-07-30,2017-07-30,2716.0,2799.0,2653.0,2799.0,4432.01944492,12028854.5837,2714.07983046
2017-07-31,2017-07-31,2798.999,2910.0,2723.0,2876.133,7421.35930945,20858806.1781,2810.64496521
2017-08-01,2017-08-01,2876.133,2970.0,2599.0,2727.027,13128.8340297,36518804.6379,2781.57257188
2017-08-02,2017-08-02,2727.975,2761.514,2650.0,2700.8,6560.85694982,17774609.6213,2709.19024103
2017-08-03,2017-08-03,2700.9,2808.88,2697.7,2797.034,6069.83355832,16686358.8163,2749.06365322
2017-08-04,2017-08-04,2797.034,2888.2,2771.011,2875.968,5969.506676,16959799.4147,2841.0721916
2017-08-05,2017-08-05,2875.967,3350.0,2870.0,3256.31,12846.2877564,40692195.805,3167.62294109
2017-08-06,2017-08-06,3256.31,3299.1,3177.77,3235.032,5412.31929521,17563145.7468,3245.03134217
2017-08-07,2017-08-07,3236.994,3447.887,3191.0,3395.0,6389.08523775,21269097.7176,3328.97385558
2017-08-08,2017-08-08,3395.0,3492.0,3350.0,3430.52,7446.40589118,25533644.339,3428.98906025
2017-08-09,2017-08-09,3430.52,3444.9,3252.0,3371.878,6149.15996821,20626418.2271,3354.34731472
2017-08-10,2017-08-10,3370.0,3470.0,3340.0,3433.989,3997.94405102,13688579.3426,3423.90467897
2017-08-11,2017-08-11,3434.099,3735.199,3425.006,3670.0,5731.53683792,20353460.523,3551.13490475
2017-08-12,2017-08-12,3669.618,3975.0,3637.34,3884.626,8296.37663448,31690179.4778,3819.76143008
2017-08-13,2017-08-13,3889.09,4232.71,3841.468,4084.0,11504.3712118,46475746.0792,4039.8336618
